category_id,category_name
MLA437375,Mochilas y Bolsos
MLA417571,Pads para Manubrios
MLA22296,Parabrisas
MLA445725,Parlantes
MLA429028,Pisaderas
MLA415256,Protectores de Radiadores
MLA413538,Rampas
MLA413539,Redes de Pulpo
MLA437269,Repuestos para Cascos
MLA434743,Simil Turbo
MLA443874,Sliders
MLA437254,Soportes de Parabrisas
MLA437255,Straps
MLA61249,Tableros y Velocímetros
MLA412452,Visores para Cascos
MLA22281,Otros
MLA413994,Audio y Electrónica
MLA413990,Bombas de Achique
MLA432080,Boyas
MLA413972,Carrocería y Cabina
MLA271637,Controles y Conducción
MLA271719,Decoración
MLA413971,Fondeo y Amarre
MLA413657,Luces
MLA430455,Mangueras para Combustible
MLA22206,Motores y Repuestos
MLA413999,Seguridad
MLA413987,Sistemas de Navegación
MLA413664,Tanques de Combustible
MLA416195,Timones
MLA22205,Otros
MLA86014,Accesorios de Exterior
MLA86024,Accesorios de Interior
MLA6651,Otros
MLA412364,Cabina
MLA412365,Interior de Cabina
MLA412366,Otros
MLA69545,Antenas
MLA69571,Bazookas
MLA45739,Cables y Conectores
MLA44525,Capacitores
MLA11883,Controles Remotos
MLA418329,Cornetas
MLA418330,Drivers
MLA440346,DVD Para Techos
MLA3695,Ecualizadores
MLA437344,Interfaces
MLA22367,Lunetas y Cajas Acústicas
MLA7446,Pantallas
MLA3384,Parlantes
MLA3385,Potencias y Amplificadores
MLA432046,Rejillas
MLA437346,Reproductores
MLA455438,Sets de Parlantes Componentes
MLA3387,Otros
MLA372428,Equipos Completos
MLA372429,Repuestos
MLA372468,Otros
MLA438153,Bateas de Ultrasonido
MLA437782,Bocallaves y Accesorios
MLA416712,Cabinas de Pintura
MLA430577,Camillas para Mecánicos
MLA417246,Desarmadoras de Neumáticos
MLA455303,Elevación
MLA455301,Escaneo
MLA433440,Espátulas para Polarizado
MLA392534,Extractores de Polea
MLA437795,Herramientas de Inspección
MLA455304,Herramientas para Baterías
MLA60566,Infladores
MLA60657,Llaves
MLA412409,Malacates
MLA455307,Medición
MLA60658,Otros
MLA429408,Abrillantadores
MLA430551,Anticorrosivos
MLA414035,Aromatizadores
MLA86840,Aspiradoras
MLA86839,Ceras
MLA392349,Desengrasantes
MLA413467,Limpiadores de Cuero
MLA392346,Lubricantes
MLA424490,Pads
MLA424491,Paños
MLA392347,Pulidoras
MLA430583,Removedores de Rayones
MLA392348,Selladores
MLA431863,Shampoo para Autos
MLA363814,Tratamientos
MLA86843,Otros
MLA6530,Llantas de Autos y Camionetas
MLA402745,Llantas para Camiones
MLA432912,Llantas para Cuatriciclos
MLA3933,Llantas para Motos
MLA400937,Otros
MLA8532,Accesorios
MLA85803,Mapas
MLA49337,Navegadores GPS
MLA8534,Otros
MLA363815,Alineación y Balanceo
MLA403699,Cámaras para Neumáticos
MLA438194,Cubiertas para Bicicletas
MLA439738,Cubiertas para Monopatines
MLA45529,Cubiertas para Motos
MLA417989,Neumáticos Agrícolas
MLA22195,Neumáticos de Auto y Camioneta
MLA429043,Neumáticos Industriales
MLA438193,Neumáticos para Aeronaves
MLA437316,Neumáticos para Camiones
MLA420221,Neumáticos para Cuatriciclos
MLA6539,Otros
MLA437385,Filtros y Lubricantes
MLA403003,Frenos
MLA437403,Habitáculo
MLA437352,Motor
MLA437376,Suspensión y Dirección
MLA437380,Transmisión
MLA403002,Otros
MLA86011,Aditivos y Lubricantes
MLA2220,Baterías
MLA373359,Carrocería
MLA373344,Cerraduras y Llaves
MLA373048,Climatización
MLA373357,Componentes de Seguridad
MLA3169,Cristales
MLA85927,Electroventiladores
MLA22260,Encendido
MLA22292,Escapes
MLA4859,Filtros
MLA22291,Frenos
MLA373142,Iluminación
MLA86841,Instalaciones Eléctricas
MLA22245,Inyección
MLA3172,Motor
MLA373108,Repuestos de Exterior
MLA373144,Repuestos de Habitáculo
MLA22222,Suspensión y Dirección
MLA373442,Transmisión
MLA85960,Otros
MLA455241,Para Camiones
MLA419938,Para Cosechadoras
MLA442349,Para Maquinaria Vial
MLA442348,Para Pulverizadoras
MLA442347,Para Sembradoras
MLA419937,Para Tractores
MLA419939,Otros
MLA45502,Baterías
MLA377699,Chasis
MLA377700,Encendido
MLA437386,Escapes y Silenciadores
MLA22280,Espejos
MLA3935,Faros y Ópticas
MLA388937,Filtros
MLA377698,Motor
MLA61155,Transmisión
MLA3936,Otros
MLA7848,Alarmas y Accesorios
MLA60607,Antirrobos de Ruedas
MLA45904,Balizas
MLA116973,Cadenas para Nieve
MLA72294,Chalecos Reflectivos
MLA86016,Cierres Centralizados
MLA419999,Controles
MLA370810,Kit de Seguridad para Autos
MLA86101,Lingas y Trabas
MLA60606,Matafuegos
MLA86096,Polarizado
MLA410863,Rastreadores Vehiculares
MLA72292,Sirenas
MLA60635,Testers de Alcoholemia
MLA416645,Topes de Estacionamiento
MLA72293,Traba Volantes
MLA7868,Otros
MLA445758,Filtros y Fluidos
MLA445767,Frenos
MLA445765,Motor
MLA445766,Transmisión
MLA445752,Tren Delantero
MLA445751,Otros
MLA22293,Cromados
MLA402989,Iluminación
MLA1749,Merchandising
MLA377675,Pinturas para Autos
MLA4593,Polarizado
MLA4590,Tuning Exterior
MLA402975,Tuning Interior
MLA86424,Vinilos y Calcos
MLA4594,Otros
MLA449878,Caballos y Yeguas
MLA449879,Gallos y Gallinas
MLA442433,Toros
MLA442432,Otros
MLA455338,Energía Renovable
MLA442424,Grupos Electrógenos
MLA442426,Molinos de Viento
MLA442423,Otros
MLA454566,Alambrados
MLA442395,Balanzas y Básculas
